"Response ID","Date submitted","Last page","Start language","Seed","Date started","Date last action","Participant ID","Mental DemandHow mentally demanding was the task?  []","Physical DemandHow physically demanding was the task?  []","Temporal DemandHow hurried or rushed was the pace of the task?  []","PerformanceHow successful were you in accomplishing what you were asked to do?  []","EffortHow hard did you have to work to accomplish your level of performance?  []","FrustrationHow insecure, discouraged, irritated, stressed, and annoyed were you? []"
"1","2023-08-04 14:25:58","1","en","1902686081","2023-08-04 14:13:06","2023-08-04 14:25:58","5","8","2","9","4","9","5"
"3","2023-08-04 14:55:29","1","en","1707752338","2023-08-04 14:54:38","2023-08-04 14:55:29","6","4","3","7","5","3","3"
"5","2023-08-04 16:20:33","1","en","1937789487","2023-08-04 14:55:58","2023-08-04 16:20:33","7","6","2","4","7","7","3"
"7","2023-08-07 10:10:33","1","en","907021970","2023-08-07 10:05:22","2023-08-07 10:10:33","1","6","2","10","5","7","6"
"8","2023-08-07 10:18:27","1","en","1010875547","2023-08-07 10:15:02","2023-08-07 10:18:27","2","7","4","8","8","6","4"
"9","2023-08-07 10:35:17","1","en","435958097","2023-08-07 10:34:00","2023-08-07 10:35:17","3","5","2","6","6","5","1"
"10","2023-08-07 10:50:45","1","en","874557275","2023-08-07 10:50:00","2023-08-07 10:50:45","8","6","7","8","6","7","3"
"11","2023-08-07 10:56:28","1","en","1919133380","2023-08-07 10:55:37","2023-08-07 10:56:28","4","7","3","7","7","7","4"
"12","2023-08-07 14:22:54","1","en","1663561276","2023-08-07 12:52:10","2023-08-07 14:22:54","9","6","2","8","8","7","1"
"14","2023-08-08 11:07:43","1","en","175360705","2023-08-07 15:02:10","2023-08-08 11:07:43","11","3","1","2","4","5","2"
"15","2023-08-08 14:05:50","1","en","1172229738","2023-08-08 12:37:46","2023-08-08 14:05:50","12","8","5","3","7","7","2"
"16","2023-08-08 17:20:05","1","en","1508070858","2023-08-08 14:14:42","2023-08-08 17:20:05","13","7","3","7","5","7","6"
"18","2023-08-09 11:24:25","1","en","994211764","2023-08-09 11:23:15","2023-08-09 11:24:25","10","7","3","7","8","7","5"
"19","2023-08-11 15:56:12","1","en","848700647","2023-08-11 15:55:17","2023-08-11 15:56:12","14","7","3","8","4","8","7"
"20","2023-08-14 10:56:09","1","en","778757475","2023-08-14 09:27:53","2023-08-14 10:56:09","15","7","4","5","7","5","4"
"23","2023-08-14 14:36:01","1","en","579002508","2023-08-14 14:34:53","2023-08-14 14:36:01","16","4","6","3","6","10","7"
"24","2023-08-14 16:13:05","1","en","1911280187","2023-08-14 16:12:02","2023-08-14 16:13:05","17","5","4","9","5","7","4"
"25","2023-08-16 11:18:12","1","en","117959222","2023-08-16 10:24:34","2023-08-16 11:18:12","18","8","2","2","8","9","3"
"26","2023-08-16 16:19:05","1","en","1674907090","2023-08-16 14:46:26","2023-08-16 16:19:05","19","3","5","5","6","7","3"
"27","2023-08-17 16:55:26","1","en","1923981771","2023-08-17 14:59:23","2023-08-17 16:55:26","20","8","3","8","3","7","5"
"30","2023-09-14 11:33:42","1","en","1134112340","2023-09-14 11:32:31","2023-09-14 11:33:42","21","8","2","6","8","7","3"
"31","2023-09-14 13:58:37","1","en","1843047799","2023-09-14 13:56:06","2023-09-14 13:58:37","22","6","2","9","5","6","7"
"32","2023-09-14 16:03:27","1","en","1149216548","2023-09-14 16:02:17","2023-09-14 16:03:27","23","6","1","9","9","8","2"
"37","","","en","1144566308","2023-10-06 11:18:32","2023-10-06 11:18:32","","","","","","",""
"38","","","en","151745716","2023-10-07 12:34:21","2023-10-07 12:34:21","","","","","","",""
"39","","","en","1957238694","2023-10-08 17:39:44","2023-10-08 17:39:44","","","","","","",""
"40","","","en","1934525599","2023-10-09 12:36:17","2023-10-09 12:36:17","","","","","","",""
"41","","","en","138678984","2023-10-23 20:56:31","2023-10-23 20:56:31","","","","","","",""
